company_nature,stock_id,stock_name,stock_website
其它,000902.SZ,新洋丰,http://www.yonfer.com 
其它,000903.SZ,云内动力,http://www.yunneidongli.com 
其它,000905.SZ,厦门港务,http://www.xmgw.com.cn 
其它,000906.SZ,浙商中拓,http://www.zmd.com.cn 
其它,000908.SZ,景峰医药,http://www.jfyiyao.com 
其它,000909.SZ,数源科技,http://www.soyea.com.cn 
其它,000910.SZ,大亚圣象,http://www.dareglobal.com.cn 
其它,000911.SZ,ST南糖,http://www.nnsugar.com 
其它,000912.SZ,泸天化,http://www.sclth.com 
其它,000913.SZ,钱江摩托,http://www.qjmotor.com 
其它,000915.SZ,山大华特,http://www.sd-wit.com 
其它,000917.SZ,电广传媒,http://www.tik.com.cn 
其它,000918.SZ,嘉凯城,http://www.calxon-group.com 
其它,000919.SZ,金陵药业,http://www.jlyy1999.com 
其它,000920.SZ,南方汇通,http://www.crrcgc.cc/ht 
0757-28362570,000921.SZ,海信家电,http://hxjd.hisense.cn 
其它,000922.SZ,佳电股份,http://www.jemlc.com 
其它,000923.SZ,河钢资源,http://www.hbiszy.com 
其它,000925.SZ,众合科技,http://www.unittec.com 
其它,000926.SZ,福星股份,http://www.chinafxkj.com 
其它,000927.SZ,*ST夏利,http://www.tjfaw.com.cn 
其它,000928.SZ,中钢国际,http://mecc.sinosteel.com 
其它,000929.SZ,兰州黄河,http://www.yellowriver.net.cn 
其它,000930.SZ,中粮科技,http://www.cofcotech.com 
民营相对控股企业,000931.SZ,中关村,http://www.centek.com.cn 
其它,000932.SZ,华菱钢铁,http://www.valin.cn 
其它,000933.SZ,神火股份,http://www.shenhuo.com 
其它,000935.SZ,四川双马,http://www.sc-shuangma.com 
其它,000936.SZ,华西股份,http://www.jshuaxicun.com 
其它,000937.SZ,冀中能源,http://www.jznygf.com 
其它,000938.SZ,紫光股份,http://www.thunis.com 
其它,000948.SZ,南天信息,http://www.nantian.com.cn 
其它,000949.SZ,新乡化纤,http://www.bailu.com 
其它,000950.SZ,重药控股,http://www.cqphar.com 
其它,000951.SZ,中国重汽,http://www.sinotruk.com 
其它,000952.SZ,广济药业,http://www.guangjipharm.com 
其它,000953.SZ,*ST河化,http://www.hechihuagong.com.cn 
其它,000955.SZ,欣龙控股,http://www.xinlong-holding.com 
其它,000957.SZ,中通客车,http://www.zhongtong.com 
其它,000958.SZ,东方能源,http://www.spichebei.com 
其它,000959.SZ,首钢股份,http://www.sggf.com.cn 
其它,000960.SZ,锡业股份,http://www.ytl.com.cn 
其它,000961.SZ,中南建设,http://www.zhongnangroup.cn 
其它,000962.SZ,东方钽业,http://www.otic.com.cn 
其它,000963.SZ,华东医药,http://www.eastchinapharm.com 
其它,000965.SZ,天保基建,http://www.tbjijian.com 
其它,000966.SZ,长源电力,http://www.cydl.com.cn 
其它,000967.SZ,盈峰环境,http://www.inforeenviro.com 
其它,000968.SZ,蓝焰控股,http://www.tymqh.com 
其它,000969.SZ,安泰科技,http://www.atmcn.com 
其它,000970.SZ,中科三环,http://www.san-huan.com.cn 
其它,000971.SZ,*ST高升,http://www.gosun.com 
其它,000972.SZ,ST中基,http://www.chalkistomato.com 
其它,000973.SZ,佛塑科技,http://www.fspg.com.cn 
其它,000975.SZ,银泰黄金,http://www.ytg000975.com 
其它,000976.SZ,华铁股份,http://www.huatie-railway.com 
其它,000977.SZ,浪潮信息,http://www.inspur.com 
其它,000978.SZ,桂林旅游,http://www.guilintravel.com 
其它,000980.SZ,*ST众泰,http://www.zotye.com 
其它,000981.SZ,*ST银亿,http://www.chinayinyi.cn 
其它,000982.SZ,*ST中绒,http://www.zhongyincashmere.com 
其它,000983.SZ,西山煤电,http://www.xsmd.com.cn 
其它,000985.SZ,大庆华科,http://www.huake.com 
金融控股集团,000987.SZ,越秀金控,http://www.yuexiu-finance.com 
其它,000988.SZ,华工科技,http://www.hgtech.com.cn 
其它,000989.SZ,九芝堂,http://www.hnjzt.com 
其它,000990.SZ,诚志股份,http://www.chengzhi.com.cn 
其它,000993.SZ,闽东电力,http://www.mdep.com.cn 
投资公司,000996.SZ,中国中期,http://www.cifco996.com 
其它,000997.SZ,新大陆,http://dt.newland.com.cn 
其它,000998.SZ,隆平高科,http://www.lpht.com.cn 
其它,000999.SZ,华润三九,http://www.999.com.cn 
民营企业,001696.SZ,宗申动力,http://www.zsengine.com 
其它,001872.SZ,招商港口,http://www.szcwh.com 
其它,001896.SZ,豫能控股,http://www.yuneng.com.cn 
其它,001914.SZ,招商积余,http://www.cmpo1914.com 
国有企业,001965.SZ,招商公路,http://www.cmexpressway.com 
国有企业,001979.SZ,招商蛇口,http://www.cmsk1979.com 
其它,002001.SZ,新和成,http://www.cnhu.com 
其它,002002.SZ,鸿达兴业,http://www.002002.cn 
75802万元,002003.SZ,伟星股份,http://www.weixing.cn 
其它,002004.SZ,华邦健康,http://www.huapont.com.cn 
其它,002005.SZ,*ST德豪,http://www.electech.com.cn 
其它,002006.SZ,精功科技,http://www.jgtec.com.cn 
